Number of Likes,Number of Replies,Tweet,timestamp_gmt7
0,0,"@pakejaketmerah Tau ga si, awal di jogja, dulu ada yg ngetik “mantrol” aku bingung bgt itu apaan 😭😭 ternyata jas ujan 🤣",2024-11-19 21:01:58
0,0,"doi pulang kerja, w habis jalan sendiri dari jogja. pulang kerja mau nungguin w yang krl an, padahal lagi hujan deres banget. terimakasih untuk waktu mu, dan upaya mu. https://t.co/HBoGZotnV5",2024-11-19 20:20:54
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 20:00:58
0,0,Jogja selalu hujan 😓 https://t.co/d3rDxbp068,2024-11-19 20:00:20
0,1,@sitikusmininis JANGAN PAS MUSIM HUJAN PLIS JOGJA MUSIM HUJAN AUTO BADAI,2024-11-19 19:56:08
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:43:26
34,23,"Jogja kalo sore suka hujan, enak mam yang anget anget. Pesen online, tunggu, tinggal mam 😋

Finally setelah repurchase 3x akhirnya ku review juga wkwkwk

📍 Mie Kari Sekuali, Depok, Sleman, Yogyakarta

Aku suka soalnya karinya gak pedes hehehe kalau mau pedes, ada dikasih bubuk… https://t.co/wfjEh3i8jA https://t.co/0lKnwNEHeN",2024-11-19 19:41:51
0,0,@YogyakartaCity cek berita lengkapnya disini : https://t.co/bX2lMWLjA9,2024-11-19 19:39:58
0,1,@rjphile IH JOGJA HUJAN? aku lagi di indoor jadi ngga kedengeran :(,2024-11-19 19:36:22
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:34:14
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:33:50
0,0,@tanyarlfes hujan deres jg di jogja nder,2024-11-19 19:32:43
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:32:40
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:31:19
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:30:12
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:29:08
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:28:06
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:27:00
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:24:50
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:24:38
0,0,Jogja dari siang ujan bikin mager kemana22 anjirrr,2024-11-19 19:21:41
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:21:32
1,0,#indonesia #jakarta  #reezjiwow #jogja #bali #ig #fb #youtube #tiktok #fyp #Milky #TimnasDay #Komen #Hujan https://t.co/iVxDqgOVJm,2024-11-19 19:21:04
2,0,"jogja hujan terus ya sayang🥹 mau pukpuk 😍
#ExpoJOGJA #jogja #availjogja https://t.co/vn6mnDVtyq",2024-11-19 19:20:05
0,0,"Kembali ke Jogja duluan!! sepanjang Weleri sampai Jogja ditemani hujan deras, rintik, mendung, gerimis 🌧️

Ditutup dengan Sarangeui Oppa https://t.co/9p2VoWW1cq",2024-11-19 19:19:49
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:19:18
1,1,"Di Jogja ujan mulu tiap sore, bikin pengen bersenggama",2024-11-19 19:17:58
0,0,jogja ujan trs deh,2024-11-19 19:16:12
0,1,"@putttra_Setiya7 Ini Jogja tiap sore mode hujan, apakah mas mas cakep itu juga muncul terus?",2024-11-19 19:14:51
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:07:55
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:03:13
0,0,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 19:00:46
1,0,@alterxjogja mauwwww apalagi jogja hujan terusss☹️,2024-11-19 18:56:10
17,0,"Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt",2024-11-19 18:53:20
0,0,Akhir2 ini jogja hujan mulu,2024-11-19 18:49:16
0,1,"@A_ChristyJKT48 Di jogja hujan 
Kamu juga jaga kesehatan ya",2024-11-19 18:47:41
0,0,Krl jogja-solo ujan + playlist taylorSwitf 🫵🏻❤️,2024-11-19 18:43:39
1,0,Jogja diguyur hujan lebat. Goride dan Gocar menolak semua orderan. Beruntungnya masih ada Transjogja (meski overload dan di banyak halte terjadi penolakan penumpang). Di saat seperti ini tiba-tiba teringat artikel M*jok yang berjudul “Trans Jogja Makin Hari Makin Tidak Berguna!”.,2024-11-19 18:41:55
0,0,"JOGJA UJAN, IT'S SEBLAK TIME",2024-11-19 18:36:31
0,0,Hujan jogja mood colmek atau cilmek ada nggak pass / singel yang pengen gitu aku bisa ko 😁😁,2024-11-19 18:35:22
0,0,"RT @sisapembakaran: @vincemarcelli @idkwherelsetogo Kak di Jogja justru pd gak mau ambil kalo hujan dan harga murah, sering banget di cance…",2024-11-19 18:22:43
0,0,"@cupidclips Wkwkwk ku kira di Jogja 😭😭😭 enak donh masih ujan, dingin",2024-11-19 18:20:56
