Author ID,Date Created,Number of Likes,Number of Replies,Source of Tweet,Tweet
1142846898971090956,2024-11-19 14:01:58+00:00,0,0,,"@pakejaketmerah Tau ga si, awal di jogja, dulu ada yg ngetik “mantrol” aku bingung bgt itu apaan 😭😭 ternyata jas ujan 🤣"
1845546143507501057,2024-11-19 13:20:54+00:00,0,0,,"doi pulang kerja, w habis jalan sendiri dari jogja. pulang kerja mau nungguin w yang krl an, padahal lagi hujan deres banget. terimakasih untuk waktu mu, dan upaya mu. https://t.co/HBoGZotnV5"
1654851817,2024-11-19 13:00:58+00:00,0,0,,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt"
1664838836428623873,2024-11-19 13:00:20+00:00,0,0,,Jogja selalu hujan 😓 https://t.co/d3rDxbp068
46844111,2024-11-19 12:56:08+00:00,0,1,,@sitikusmininis JANGAN PAS MUSIM HUJAN PLIS JOGJA MUSIM HUJAN AUTO BADAI
1894957807,2024-11-19 12:43:26+00:00,0,0,,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt"
1612469679154679808,2024-11-19 12:41:51+00:00,34,23,,"Jogja kalo sore suka hujan, enak mam yang anget anget. Pesen online, tunggu, tinggal mam 😋

Finally setelah repurchase 3x akhirnya ku review juga wkwkwk

📍 Mie Kari Sekuali, Depok, Sleman, Yogyakarta

Aku suka soalnya karinya gak pedes hehehe kalau mau pedes, ada dikasih bubuk… https://t.co/wfjEh3i8jA https://t.co/0lKnwNEHeN"
1858848283575341056,2024-11-19 12:39:58+00:00,0,0,,@YogyakartaCity cek berita lengkapnya disini : https://t.co/bX2lMWLjA9
1526866023332294656,2024-11-19 12:36:22+00:00,0,1,,@rjphile IH JOGJA HUJAN? aku lagi di indoor jadi ngga kedengeran :(
314413106,2024-11-19 12:34:14+00:00,0,0,,"RT @yourbbyhoneyy: Jogja hujan dingin ayo adu mekanik🥂

#availjogja #ExpoJOGJA https://t.co/tXclCM7UVt"
