name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Yogyakarta, Indonesia",2024-11-16T00:00:00,24.6,24.6,22.6,88.64,0.3,100.0,rain,0,0,12.2,7.9,277.5,1009,91.6,12.2,0,0.0,0,10,"Rain, Overcast",rain,remote
"Yogyakarta, Indonesia",2024-11-16T01:00:00,24.3,24.3,22.6,90.25,0.3,100.0,rain,0,0,12.2,7.9,280.2,1008,95.4,24.1,0,0.0,0,10,"Rain, Overcast",rain,remote
"Yogyakarta, Indonesia",2024-11-16T02:00:00,24.4,24.4,22.4,88.63,0.0,0.0,,0,0,8.6,6.8,271.4,1008,98.9,24.1,0,0.0,0,10,Overcast,cloudy,remote
"Yogyakarta, Indonesia",2024-11-16T03:00:00,24.3,24.3,22.6,90.25,0.3,100.0,rain,0,0,8.3,5.4,259.1,1008,99.8,19.4,0,0.0,0,10,"Rain, Overcast",rain,remote
"Yogyakarta, Indonesia",2024-11-16T04:00:00,23.9,23.9,22.6,92.44,1.7,100.0,rain,0,0,7.9,5.4,278.0,1008,100.0,6.7,0,0.0,0,10,"Rain, Overcast",rain,remote
"Yogyakarta, Indonesia",2024-11-16T05:00:00,23.4,23.4,22.7,95.85,3.2,100.0,rain,0,0,7.2,5.4,282.6,1009,100.0,10.1,0,0.0,0,10,"Rain, Overcast",rain,remote
"Yogyakarta, Indonesia",2024-11-16T06:00:00,23.6,23.6,22.6,94.13,1.0,100.0,rain,0,0,7.6,5.4,262.5,1010,100.0,24.1,8,0.0,0,10,"Rain, Overcast",rain,remote
"Yogyakarta, Indonesia",2024-11-16T07:00:00,24.7,24.7,22.6,88.12,0.0,0.0,,0,0,6.1,5.4,266.9,1010,100.0,24.1,103,0.4,1,10,Overcast,cloudy,remote
"Yogyakarta, Indonesia",2024-11-16T08:00:00,25.7,25.7,22.7,83.53,0.0,0.0,,0,0,5.4,6.5,236.0,1010,100.0,24.1,247,0.9,2,10,Overcast,cloudy,remote
"Yogyakarta, Indonesia",2024-11-16T09:00:00,27.6,30.5,22.9,75.59,0.0,0.0,,0,0,4.7,7.6,210.1,1010,91.0,24.1,586,2.1,6,30,Overcast,cloudy,remote
"Yogyakarta, Indonesia",2024-11-16T10:00:00,29.3,33.0,22.9,68.48,0.1,100.0,rain,0,0,5.4,7.6,206.3,1009,100.0,24.1,817,2.9,8,30,"Rain, Overcast",rain,remote
"Yogyakarta, Indonesia",2024-11-16T11:00:00,30.3,34.2,22.7,63.87,0.2,100.0,rain,0,0,6.5,7.9,202.2,1008,98.4,24.1,860,3.1,9,30,"Rain, Overcast",rain,remote
"Yogyakarta, Indonesia",2024-11-16T12:00:00,30.9,35.0,22.7,61.71,0.8,100.0,rain,0,0,5.8,7.2,211.0,1007,92.4,17.6,859,3.1,9,30,"Rain, Overcast",rain,remote
"Yogyakarta, Indonesia",2024-11-16T13:00:00,30.8,34.8,22.7,62.07,1.3,100.0,rain,0,0,5.4,7.2,188.6,1007,98.2,11.8,709,2.6,7,30,"Rain, Overcast",rain,remote
