Author ID,Date Created,Number of Likes,Number of Replies,Source of Tweet,Tweet
1200094091695910912,2024-11-20 10:32:18+00:00,0,0,,"RT @NdoroTedjo: Pemberitahuan utk luwak² batangan area jogja

Saat ini sekitaran kota mendung tebal sedikit gerimis.
Jadi, harap segera aja…"
1845011533295960064,2024-11-20 10:21:36+00:00,0,0,,Jogja Mendung
66355918,2024-11-20 10:13:32+00:00,0,0,,"RT @NdoroTedjo: Pemberitahuan utk luwak² batangan area jogja

Saat ini sekitaran kota mendung tebal sedikit gerimis.
Jadi, harap segera aja…"
134109792,2024-11-20 10:05:36+00:00,0,0,,"RT @NdoroTedjo: Pemberitahuan utk luwak² batangan area jogja

Saat ini sekitaran kota mendung tebal sedikit gerimis.
Jadi, harap segera aja…"
1810743334597783552,2024-11-20 09:56:20+00:00,0,0,,"RT @NdoroTedjo: Pemberitahuan utk luwak² batangan area jogja

Saat ini sekitaran kota mendung tebal sedikit gerimis.
Jadi, harap segera aja…"
85561022,2024-11-20 09:45:36+00:00,2,4,,"Pemberitahuan utk luwak² batangan area jogja

Saat ini sekitaran kota mendung tebal sedikit gerimis.
Jadi, harap segera ajak gendakanmu dolan ning kaliurang. Mangkat saiku, tekan nduwur genah udan deres

Saat itu juga, kau bisa ngajak dia mampir vila/losmen dgn dalih KUDU NGIYUP!"
3247803006,2024-11-20 06:57:43+00:00,1,0,,omg jogja bagian maguwo mendung
1855031128840978434,2024-11-20 06:56:16+00:00,0,0,,Jogja mendung
84788105,2024-11-19 12:19:49+00:00,0,0,,"Kembali ke Jogja duluan!! sepanjang Weleri sampai Jogja ditemani hujan deras, rintik, mendung, gerimis 🌧️

Ditutup dengan Sarangeui Oppa https://t.co/9p2VoWW1cq"
1686273022003695616,2024-11-19 10:35:46+00:00,0,0,,RT @cybercherubin: gelo ni jogja pagi siang panasnya ngga ngotak sorenya mendung gelap hujan lebat
1358661134853627906,2024-11-19 07:44:24+00:00,0,2,,gelo ni jogja pagi siang panasnya ngga ngotak sorenya mendung gelap hujan lebat
1858292969155305472,2024-11-19 07:10:09+00:00,0,0,,"Siang Jogja , udah mendung aja ni , alamat mau hujan ni hehehe
#jogja #cowokjogja #cowokstraight"
1701598799041568770,2024-11-19 01:09:06+00:00,0,0,,"yang kemaren bilang jogja syahdu pas musim hujan

ya syahdu sihhh, tapi sepatuku cok😭 apalah iki, sepatu dua kok kebles kabeh lah😭 mana siki mendung😣"
1388348803812446210,2024-11-18 14:05:16+00:00,0,0,,"Jogja dah ujan berkali2, Surabaya ujan kek cuma 5 menit kalo ga mendung doang"
1061868062364721152,2024-11-18 09:15:08+00:00,1,0,,@jogjamfs mendung menggelayuti jogja bagian utara + angin + petir tipis-tipis
1780568623826042880,2024-11-18 07:33:29+00:00,1,0,,"@squashdel Jogja rintik2
Mendung panas"
1353055194032922631,2024-11-18 07:11:31+00:00,0,0,,jogja begitu cerah bgini malah ujan kmaren mendung gelap kaga ujan samsek aneh btul
127567668,2024-11-18 05:41:09+00:00,0,0,,"Landed pagi, disambut mendung seharian dan suhu nyaris 0.

Langsung bikin gloomy.

Ooh Jogja.. I really miss those days."
1801781418546368512,2024-11-17 14:40:27+00:00,0,0,,jogja mendung https://t.co/YLHP1sLSXe
1653532918101278721,2024-11-17 09:00:54+00:00,0,1,,jogja tiap sore mendung trs lanjut ujan sederes deresnya mulu
1211677176,2024-11-17 07:47:46+00:00,0,0,,"@jogjamfs Upn mendung peteng tapi ra udan"". Nek rep detail cek stamet jogja nder"
1075396272,2024-11-17 07:38:51+00:00,0,1,,"@scotchwithcoke udah mendung banget tapi masih gluduk gluduk tok. 

btw aneh banget sekarang nanyanya jogja ujan atau nggak bjir."
354117934,2024-11-17 06:42:11+00:00,0,0,,@melaardhi Enak dong mendung syahdu. Jogja lagi panas bet :(((
1628254140429406208,2024-11-17 05:35:00+00:00,0,0,,@oceann1a jogja mendung euyy + aya gluduk
1753088647300255744,2024-11-17 05:10:22+00:00,1,0,,Jogja full mendung
