Author ID,Date Created,Number of Likes,Number of Replies,Source of Tweet,Tweet
1858084022553079808,2024-11-19 13:25:06+00:00,0,0,,"RT @pijatpriagempal: Cari yg seger2 yuk , Jogja panas guys .. #pijatenak #pijatsensual https://t.co/OGeHIeu3lg"
3827120713,2024-11-19 13:14:53+00:00,0,1,,"@MuhammadRoiihan @Stakof Hehehee... ini sama seperti stigma ""orang timur"". Di jogja belakangan ini sempet panas masalah ini."
1821896179258732544,2024-11-19 11:24:59+00:00,0,0,,"RT @pijatpriagempal: Cari yg seger2 yuk , Jogja panas guys .. #pijatenak #pijatsensual https://t.co/OGeHIeu3lg"
1682923910743080961,2024-11-19 11:14:38+00:00,0,0,,"RT @pijatpriagempal: Cari yg seger2 yuk , Jogja panas guys .. #pijatenak #pijatsensual https://t.co/OGeHIeu3lg"
1168492587084218370,2024-11-19 10:36:58+00:00,0,0,,"@hotschokolade @tanyarlfes enak dong, jogja panas kok"
341056034,2024-11-19 10:08:30+00:00,0,0,,"RT @pijatpriagempal: Cari yg seger2 yuk , Jogja panas guys .. #pijatenak #pijatsensual https://t.co/OGeHIeu3lg"
1405900711204847623,2024-11-19 09:41:33+00:00,0,1,,@yeaouu yu kenapa jogja panas
1651000564938076161,2024-11-19 09:30:10+00:00,0,0,,"RT @pijatpriagempal: Cari yg seger2 yuk , Jogja panas guys .. #pijatenak #pijatsensual https://t.co/OGeHIeu3lg"
1857654562808872962,2024-11-19 08:52:49+00:00,0,0,,"RT @pijatpriagempal: Cari yg seger2 yuk , Jogja panas guys .. #pijatenak #pijatsensual https://t.co/OGeHIeu3lg"
1574935718497259520,2024-11-19 08:00:56+00:00,0,0,,"Kipas gua dipinjemm tmen kelass, terus dia ilangin anjggg, bilangnya taro di meja YA MKST GUA LU GA BLG KALO “ini kipasnya” GUA KAN GA DI MEJA ITU LG PANTEKKKK KSEL, mana jogja panas bgttttttt😩😩😩😩😩"
1854771870585044993,2024-11-19 07:30:30+00:00,0,0,,RT @Elisacder: Jogja panas sekali hari ini https://t.co/kzSKxz53Zn
1847263574986788864,2024-11-19 06:50:26+00:00,2,0,,"Cari yg seger2 yuk , Jogja panas guys .. #pijatenak #pijatsensual https://t.co/OGeHIeu3lg"
1273531768180637696,2024-11-19 06:01:18+00:00,0,0,,"jogja kalo ga hujan badai ya panas anjim, siang siang gini gabisa tidur grgr panas, padahal udah pake baju setipis mungkin tetep aja bjirr😡"
2357989027,2024-11-19 05:31:06+00:00,0,0,,panas bgt jogja gakuat😮‍💨😮‍💨😮‍💨😮‍💨 mau semangka
